Variable,Measure,COU,Country,Year,Value
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,22
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,18.8
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,21.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2010,18.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2011,16.5
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2012,9.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2013,8.6
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2014,5.6
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2015,15.3
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2016,12
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2017,18.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2019,24.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2020,43.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2021,54.6
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2022,45.2
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2012,33.6
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2013,52.6
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2014,41.6
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2015,50
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2016,34
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2017,41
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2018,8
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2019,24.2
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2020,22
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2021,9
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2022,10
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2012,42.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2013,54.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2014,68.4
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2015,61
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2016,55
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2017,61
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2018,41
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2019,42
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2020,49
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2021,63
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2022,70
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2010,74.2
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2011,43.9
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2012,55.1
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2013,63.6
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2014,68.1
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2015,56.9
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2016,63.5
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2017,63.5
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2018,60.7
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2019,53.1
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2020,76.2
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2021,65.9
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2022,40
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2006,66.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2007,60
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2008,40.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2009,33.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2010,29.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2011,38.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2012,39.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2013,44.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2014,39.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2015,41.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2016,45.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2017,52.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2018,51
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2019,48.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2020,50.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2021,41.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2022,42.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2003,43.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2004,43
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2005,47.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2006,30.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2007,27.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2008,31.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2009,31.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2010,32.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2011,22
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2012,20.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2013,19.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2014,7.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2015,10.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2016,9.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2017,13.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2018,14.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2019,15.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2020,18.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2021,36.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2022,44.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2012,89
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2013,89
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2014,90
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2015,90
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2016,90
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2017,90
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2018,88
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2019,89
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2020,94
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2021,90
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2003,51.1
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2004,44.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2005,47.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2006,37
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2007,29.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2008,33.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2009,28.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2010,36.9
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2011,27.5
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2012,23.4
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2013,16.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2014,7.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2015,10.9
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2016,12.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2017,18
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2018,22.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2019,26.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2020,30.9
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2021,47
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2022,48.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2012,83
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2013,84
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2014,84
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2015,86
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2016,86
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2017,84
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2018,86
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2019,74
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2020,75
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2021,45
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2012,64.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2013,69.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2014,70.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2015,78
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2016,73
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2017,59
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2018,70
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2019,66
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2020,67
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2021,76
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2022,82
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2003,63
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2004,57.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2005,47.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2006,47.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2007,36
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2008,39.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2009,37.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2010,40.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2011,38.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2012,29.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2013,29
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2014,10.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2015,16
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2016,17.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2017,22
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2018,22.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2019,35.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2020,45.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2021,62.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,NZL,New Zealand,2022,68
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2013,75.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2014,75.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2015,67.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2016,62.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2017,60.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2018,62.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2019,65.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2020,79.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2021,78.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2022,74.4
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2013,2.4
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2014,0.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2015,1.1
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2016,3.1
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2017,1.3
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2018,0.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2019,2
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2020,18.2
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2021,36.1
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2022,4.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2006,57.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2007,50.9
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2008,51.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2009,48.9
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2010,41.9
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2011,39.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2012,33.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2013,30.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2014,41.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2015,42.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2016,41.8
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2017,42.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2018,49.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2019,46.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2020,55.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2021,52.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2022,50.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2019,19.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2020,11.2
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2021,11.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2022,29.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2013,53.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2014,51.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2015,27.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2016,14
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2017,15.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2018,10.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2019,6.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2020,42.2
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2021,33.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,HUN,Hungary,2022,32.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2012,78.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2013,73.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2014,81
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2015,89
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2016,77
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2017,59
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2018,43
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2019,36
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2020,49
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2021,66
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ISL,Iceland,2022,69
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,PRT,Portugal,2021,0
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2012,87
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2013,87
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2014,88
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2015,88
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2016,88
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2017,88
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2018,83
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2019,87
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2020,91
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2021,85
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2019,58.5
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2020,68.2
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2021,58.1
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,SVN,Slovenia,2022,58.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2007,59.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2008,52.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2009,51.1
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2010,53.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2011,58.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2012,53
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2013,62.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2014,63.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2015,67.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2016,69.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2017,71.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2018,62.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2019,55.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2020,94.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2021,52.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,IRL,Ireland,2022,56.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2012,6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2013,4.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2014,6.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2015,13.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2016,10.9
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2017,10.2
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2019,24.8
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2020,35
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2021,50
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,SWE,Sweden,2022,42.8
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,POL,Poland,2012,14
